particle_count,timesteps,sample,time
100,10,1,0.002
100,10,2,0.001
100,10,3,0.001
100,10,4,0.001
100,10,5,0.001
100,10,6,0.002
100,10,7,0.001
100,10,8,0.001
100,10,9,0.002
100,10,10,0.001
100,10,11,0.002
100,10,12,0.001
100,10,13,0.001
100,10,14,0.001
100,10,15,0.001
100,10,16,0.001
100,10,17,0.001
100,10,18,0.001
100,10,19,0.001
100,10,20,0.001
100,10,21,0.001
100,10,22,0.001
100,10,23,0.001
100,10,24,0.001
100,10,25,0.001
100,10,26,0.001
100,10,27,0.001
100,10,28,0.001
100,10,29,0.001
100,10,30,0.001
1000,10,1,0.054
1000,10,2,0.048
1000,10,3,0.052
1000,10,4,0.047
1000,10,5,0.049
1000,10,6,0.049
1000,10,7,0.047
1000,10,8,0.047
1000,10,9,0.047
1000,10,10,0.053
1000,10,11,0.053
1000,10,12,0.047
1000,10,13,0.047
1000,10,14,0.052
1000,10,15,0.048
1000,10,16,0.048
1000,10,17,0.048
1000,10,18,0.048
1000,10,19,0.048
1000,10,20,0.047
1000,10,21,0.047
1000,10,22,0.048
1000,10,23,0.048
1000,10,24,0.048
1000,10,25,0.048
1000,10,26,0.048
1000,10,27,0.050
1000,10,28,0.053
1000,10,29,0.053
1000,10,30,0.047
2000,10,1,0.193
2000,10,2,0.198
2000,10,3,0.191
2000,10,4,0.191
2000,10,5,0.194
2000,10,6,0.189
2000,10,7,0.185
2000,10,8,0.192
2000,10,9,0.187
2000,10,10,0.188
2000,10,11,0.191
2000,10,12,0.193
2000,10,13,0.192
2000,10,14,0.188
2000,10,15,0.191
2000,10,16,0.195
2000,10,17,0.191
2000,10,18,0.192
2000,10,19,0.189
2000,10,20,0.193
2000,10,21,0.190
2000,10,22,0.192
2000,10,23,0.187
2000,10,24,0.190
2000,10,25,0.185
2000,10,26,0.190
2000,10,27,0.188
2000,10,28,0.192
2000,10,29,0.189
2000,10,30,0.185
4000,10,1,0.732
4000,10,2,0.732
4000,10,3,0.733
4000,10,4,0.728
4000,10,5,0.730
4000,10,6,0.727
4000,10,7,0.731
4000,10,8,0.729
4000,10,9,0.727
4000,10,10,0.730
4000,10,11,0.728
4000,10,12,0.728
4000,10,13,0.727
4000,10,14,0.728
4000,10,15,0.728
4000,10,16,0.738
4000,10,17,0.733
4000,10,18,0.726
4000,10,19,0.727
4000,10,20,0.728
4000,10,21,0.726
4000,10,22,0.726
4000,10,23,0.731
4000,10,24,0.730
4000,10,25,0.727
4000,10,26,0.743
4000,10,27,0.739
4000,10,28,0.739
4000,10,29,0.739
4000,10,30,0.732
5000,10,1,1.136
5000,10,2,1.134
5000,10,3,1.134
5000,10,4,1.135
5000,10,5,1.136
5000,10,6,1.141
5000,10,7,1.156
5000,10,8,1.139
5000,10,9,1.162
5000,10,10,1.149
5000,10,11,1.144
5000,10,12,1.135
5000,10,13,1.157
5000,10,14,1.138
5000,10,15,1.136
5000,10,16,1.137
5000,10,17,1.136
5000,10,18,1.137
5000,10,19,1.136
5000,10,20,1.137
5000,10,21,1.158
5000,10,22,1.156
5000,10,23,1.152
5000,10,24,1.144
5000,10,25,1.137
5000,10,26,1.152
5000,10,27,1.144
5000,10,28,1.136
5000,10,29,1.135
5000,10,30,1.135
8000,10,1,2.901
8000,10,2,2.899
8000,10,3,2.949
8000,10,4,2.905
8000,10,5,2.901
8000,10,6,2.948
8000,10,7,2.900
8000,10,8,2.902
8000,10,9,2.900
8000,10,10,2.927
8000,10,11,2.903
8000,10,12,2.901
8000,10,13,2.906
8000,10,14,2.907
8000,10,15,2.912
8000,10,16,2.939
8000,10,17,2.910
8000,10,18,2.904
8000,10,19,2.902
8000,10,20,2.900
8000,10,21,2.900
8000,10,22,2.897
8000,10,23,2.901
8000,10,24,2.897
8000,10,25,2.898
8000,10,26,2.899
8000,10,27,2.898
8000,10,28,2.900
8000,10,29,2.931
8000,10,30,2.905
10000,10,1,4.532
10000,10,2,4.571
10000,10,3,4.562
10000,10,4,4.563
10000,10,5,4.561
10000,10,6,4.597
10000,10,7,4.563
10000,10,8,4.563
10000,10,9,4.562
10000,10,10,4.564
10000,10,11,4.563
10000,10,12,4.563
10000,10,13,4.563
10000,10,14,4.619
10000,10,15,4.560
10000,10,16,4.578
10000,10,17,4.604
10000,10,18,4.533
10000,10,19,4.601
10000,10,20,4.594
10000,10,21,4.592
10000,10,22,4.593
10000,10,23,4.594
10000,10,24,4.592
10000,10,25,4.595
10000,10,26,4.594
10000,10,27,4.596
10000,10,28,4.595
10000,10,29,4.594
10000,10,30,4.592
12000,10,1,6.614
12000,10,2,6.611
12000,10,3,6.613
12000,10,4,6.666
12000,10,5,6.614
12000,10,6,6.614
12000,10,7,6.609
12000,10,8,6.626
12000,10,9,6.615
12000,10,10,6.664
12000,10,11,6.625
12000,10,12,6.631
12000,10,13,6.573
12000,10,14,6.520
12000,10,15,6.571
12000,10,16,6.518
12000,10,17,6.515
12000,10,18,6.509
12000,10,19,6.509
12000,10,20,6.515
12000,10,21,6.505
12000,10,22,6.574
12000,10,23,6.524
12000,10,24,6.514
12000,10,25,6.514
12000,10,26,6.508
12000,10,27,6.519
12000,10,28,6.510
12000,10,29,6.599
12000,10,30,6.518
15000,10,1,10.175
15000,10,2,10.148
15000,10,3,10.168
15000,10,4,10.157
15000,10,5,10.241
15000,10,6,10.146
15000,10,7,10.204
15000,10,8,10.173
15000,10,9,10.191
15000,10,10,10.149
15000,10,11,10.257
15000,10,12,10.163
15000,10,13,10.187
15000,10,14,10.190
15000,10,15,10.151
15000,10,16,10.338
15000,10,17,10.171
15000,10,18,10.255
15000,10,19,10.168
15000,10,20,10.331
15000,10,21,10.161
15000,10,22,10.147
15000,10,23,10.164
15000,10,24,10.269
15000,10,25,10.275
15000,10,26,10.157
15000,10,27,10.283
15000,10,28,10.174
15000,10,29,10.178
15000,10,30,10.146
16000,10,1,11.581
16000,10,2,11.546
16000,10,3,11.563
16000,10,4,11.669
16000,10,5,11.549
16000,10,6,11.564
16000,10,7,11.597
16000,10,8,11.567
16000,10,9,11.571
16000,10,10,11.553
16000,10,11,11.720
16000,10,12,11.666
16000,10,13,11.583
16000,10,14,11.550
16000,10,15,11.788
16000,10,16,11.707
16000,10,17,11.565
16000,10,18,11.584
16000,10,19,11.563
16000,10,20,11.552
16000,10,21,11.664
16000,10,22,11.573
16000,10,23,11.556
16000,10,24,11.653
16000,10,25,11.572
16000,10,26,11.602
16000,10,27,11.609
16000,10,28,11.565
16000,10,29,11.568
16000,10,30,11.761
20000,10,1,18.581
20000,10,2,18.524
20000,10,3,18.531
20000,10,4,18.339
20000,10,5,18.352
20000,10,6,18.343
20000,10,7,18.378
20000,10,8,18.550
20000,10,9,18.406
20000,10,10,18.364
20000,10,11,18.588
20000,10,12,18.554
20000,10,13,18.300
20000,10,14,18.548
20000,10,15,18.359
20000,10,16,18.553
20000,10,17,18.223
20000,10,18,18.526
20000,10,19,18.344
20000,10,20,18.357
20000,10,21,18.468
20000,10,22,18.532
20000,10,23,18.598
20000,10,24,18.350
20000,10,25,18.376
20000,10,26,18.127
20000,10,27,18.304
20000,10,28,18.261
20000,10,29,18.167
20000,10,30,18.322
25000,10,1,28.568
25000,10,2,28.516
25000,10,3,28.560
25000,10,4,28.375
25000,10,5,28.962
25000,10,6,28.512
25000,10,7,28.595
25000,10,8,28.591
25000,10,9,28.330
25000,10,10,28.557
25000,10,11,28.685
25000,10,12,28.389
25000,10,13,28.628
25000,10,14,28.552
25000,10,15,28.850
25000,10,16,28.650
25000,10,17,28.635
25000,10,18,28.566
25000,10,19,28.656
25000,10,20,28.842
25000,10,21,28.698
25000,10,22,28.541
25000,10,23,28.417
25000,10,24,28.447
25000,10,25,28.440
25000,10,26,28.284
25000,10,27,28.274
25000,10,28,28.546
25000,10,29,28.384
25000,10,30,28.567
30000,10,1,40.938
30000,10,2,41.088
30000,10,3,41.165
30000,10,4,41.169
30000,10,5,41.153
30000,10,6,40.883
30000,10,7,41.604
30000,10,8,41.845
30000,10,9,41.237
30000,10,10,41.213
30000,10,11,41.195
30000,10,12,41.689
30000,10,13,41.229
30000,10,14,41.852
30000,10,15,41.292
30000,10,16,41.171
30000,10,17,41.227
30000,10,18,41.239
30000,10,19,41.212
30000,10,20,41.249
30000,10,21,41.158
30000,10,22,41.665
30000,10,23,41.822
30000,10,24,40.858
30000,10,25,41.216
30000,10,26,41.207
30000,10,27,41.224
30000,10,28,40.866
30000,10,29,41.183
30000,10,30,41.114
35000,10,1,56.136
35000,10,2,56.023
35000,10,3,55.859
35000,10,4,55.936
35000,10,5,56.411
35000,10,6,56.583
35000,10,7,56.420
35000,10,8,56.550
35000,10,9,56.045
35000,10,10,56.163
35000,10,11,56.022
35000,10,12,55.588
35000,10,13,55.998
35000,10,14,56.088
35000,10,15,55.903
35000,10,16,56.007
35000,10,17,55.701
35000,10,18,55.816
35000,10,19,56.075
35000,10,20,56.130
35000,10,21,56.123
35000,10,22,56.540
35000,10,23,55.447
35000,10,24,55.980
35000,10,25,56.830
35000,10,26,55.919
35000,10,27,56.903
35000,10,28,55.554
35000,10,29,55.998
35000,10,30,56.029
