particle_count,timesteps,threads,sample,time
100,10,1,1,0.272
100,10,1,2,0.353
100,10,1,3,0.253
100,10,1,4,0.300
100,10,1,5,0.295
100,10,1,6,0.254
100,10,1,7,0.318
100,10,1,8,0.302
100,10,1,9,0.294
100,10,1,10,0.302
100,10,1,11,0.274
100,10,1,12,0.257
100,10,1,13,0.263
100,10,1,14,0.273
100,10,1,15,0.253
100,10,1,16,0.298
100,10,1,17,0.254
100,10,1,18,0.262
100,10,1,19,0.259
100,10,1,20,0.295
100,10,1,21,0.255
100,10,1,22,0.258
100,10,1,23,0.268
100,10,1,24,0.316
100,10,1,25,0.302
100,10,1,26,0.299
100,10,1,27,0.256
100,10,1,28,0.258
100,10,1,29,0.256
100,10,1,30,0.302
100,10,2,1,0.299
100,10,2,2,0.316
100,10,2,3,0.252
100,10,2,4,0.300
100,10,2,5,0.257
100,10,2,6,0.259
100,10,2,7,0.274
100,10,2,8,0.259
100,10,2,9,0.257
100,10,2,10,0.301
100,10,2,11,0.264
100,10,2,12,0.304
100,10,2,13,0.256
100,10,2,14,0.259
100,10,2,15,0.256
100,10,2,16,0.263
100,10,2,17,0.257
100,10,2,18,0.264
100,10,2,19,0.322
100,10,2,20,0.294
100,10,2,21,0.299
100,10,2,22,0.298
100,10,2,23,0.255
100,10,2,24,0.270
100,10,2,25,0.296
100,10,2,26,0.251
100,10,2,27,0.301
100,10,2,28,0.254
100,10,2,29,0.299
100,10,2,30,0.253
100,10,4,1,0.270
100,10,4,2,0.304
100,10,4,3,0.261
100,10,4,4,0.260
100,10,4,5,0.301
100,10,4,6,0.259
100,10,4,7,0.264
100,10,4,8,0.307
100,10,4,9,0.260
100,10,4,10,0.300
100,10,4,11,0.303
100,10,4,12,0.262
100,10,4,13,0.258
100,10,4,14,0.262
100,10,4,15,0.309
100,10,4,16,0.306
100,10,4,17,0.259
100,10,4,18,0.268
100,10,4,19,0.301
100,10,4,20,0.303
100,10,4,21,0.259
100,10,4,22,0.310
100,10,4,23,0.299
100,10,4,24,0.306
100,10,4,25,0.255
100,10,4,26,0.259
100,10,4,27,0.259
100,10,4,28,0.308
100,10,4,29,0.306
100,10,4,30,0.262
100,10,8,1,0.321
100,10,8,2,0.317
100,10,8,3,0.319
100,10,8,4,0.318
100,10,8,5,0.315
100,10,8,6,0.313
100,10,8,7,0.318
100,10,8,8,0.317
100,10,8,9,0.328
100,10,8,10,0.326
100,10,8,11,0.316
100,10,8,12,0.319
100,10,8,13,0.315
100,10,8,14,0.321
100,10,8,15,0.311
100,10,8,16,0.322
100,10,8,17,0.313
100,10,8,18,0.311
100,10,8,19,0.322
100,10,8,20,0.322
100,10,8,21,0.322
100,10,8,22,0.314
100,10,8,23,0.314
100,10,8,24,0.321
100,10,8,25,0.316
100,10,8,26,0.323
100,10,8,27,0.314
100,10,8,28,0.318
100,10,8,29,0.315
100,10,8,30,0.315
100,10,12,1,0.327
100,10,12,2,0.324
100,10,12,3,0.334
100,10,12,4,0.331
100,10,12,5,0.327
100,10,12,6,0.333
100,10,12,7,0.354
100,10,12,8,0.343
100,10,12,9,0.362
100,10,12,10,0.327
100,10,12,11,0.335
100,10,12,12,0.333
100,10,12,13,0.335
100,10,12,14,0.322
100,10,12,15,0.327
100,10,12,16,0.358
100,10,12,17,0.322
100,10,12,18,0.330
100,10,12,19,0.332
100,10,12,20,0.332
100,10,12,21,0.335
100,10,12,22,0.335
100,10,12,23,0.349
