particle_count,timesteps,sample,time
100,10,1,0.002
100,10,2,0.001
100,10,3,0.001
100,10,4,0.001
100,10,5,0.001
100,10,6,0.001
100,10,7,0.001
100,10,8,0.001
100,10,9,0.001
100,10,10,0.001
100,10,11,0.001
100,10,12,0.001
100,10,13,0.002
100,10,14,0.001
100,10,15,0.001
100,10,16,0.001
100,10,17,0.001
100,10,18,0.001
100,10,19,0.001
100,10,20,0.001
100,10,21,0.001
100,10,22,0.001
100,10,23,0.001
100,10,24,0.001
100,10,25,0.001
100,10,26,0.001
100,10,27,0.001
100,10,28,0.001
100,10,29,0.001
100,10,30,0.001
1000,10,1,0.054
1000,10,2,0.048
1000,10,3,0.047
1000,10,4,0.055
1000,10,5,0.049
1000,10,6,0.047
1000,10,7,0.047
1000,10,8,0.047
1000,10,9,0.047
1000,10,10,0.049
1000,10,11,0.047
1000,10,12,0.051
1000,10,13,0.054
1000,10,14,0.048
1000,10,15,0.049
1000,10,16,0.055
1000,10,17,0.057
1000,10,18,0.051
1000,10,19,0.047
1000,10,20,0.048
1000,10,21,0.050
1000,10,22,0.053
1000,10,23,0.053
1000,10,24,0.051
1000,10,25,0.047
1000,10,26,0.047
1000,10,27,0.054
1000,10,28,0.048
1000,10,29,0.051
1000,10,30,0.049
2000,10,1,0.195
2000,10,2,0.193
2000,10,3,0.195
2000,10,4,0.195
2000,10,5,0.194
2000,10,6,0.186
2000,10,7,0.185
2000,10,8,0.185
2000,10,9,0.188
2000,10,10,0.187
2000,10,11,0.187
2000,10,12,0.185
2000,10,13,0.186
2000,10,14,0.194
2000,10,15,0.194
2000,10,16,0.196
2000,10,17,0.192
2000,10,18,0.193
2000,10,19,0.189
2000,10,20,0.193
2000,10,21,0.186
2000,10,22,0.194
2000,10,23,0.186
2000,10,24,0.193
2000,10,25,0.190
2000,10,26,0.187
2000,10,27,0.193
2000,10,28,0.193
2000,10,29,0.187
2000,10,30,0.191
4000,10,1,0.748
4000,10,2,0.741
4000,10,3,0.742
4000,10,4,0.743
4000,10,5,0.756
4000,10,6,0.757
4000,10,7,0.755
4000,10,8,0.759
4000,10,9,0.756
4000,10,10,0.750
4000,10,11,0.746
4000,10,12,0.749
4000,10,13,0.743
4000,10,14,0.749
4000,10,15,0.757
4000,10,16,0.743
4000,10,17,0.744
4000,10,18,0.740
4000,10,19,0.753
4000,10,20,0.748
4000,10,21,0.752
4000,10,22,0.745
4000,10,23,0.736
4000,10,24,0.739
4000,10,25,0.744
4000,10,26,0.743
4000,10,27,0.743
4000,10,28,0.741
4000,10,29,0.742
4000,10,30,0.745
5000,10,1,1.164
5000,10,2,1.159
5000,10,3,1.152
5000,10,4,1.160
5000,10,5,1.156
5000,10,6,1.164
5000,10,7,1.157
5000,10,8,1.169
5000,10,9,1.163
5000,10,10,1.170
5000,10,11,1.169
5000,10,12,1.155
5000,10,13,1.148
5000,10,14,1.174
5000,10,15,1.148
5000,10,16,1.147
5000,10,17,1.168
5000,10,18,1.153
5000,10,19,1.151
5000,10,20,1.175
5000,10,21,1.153
5000,10,22,1.147
5000,10,23,1.148
5000,10,24,1.147
5000,10,25,1.159
5000,10,26,1.155
5000,10,27,1.156
5000,10,28,1.161
5000,10,29,1.157
5000,10,30,1.157
8000,10,1,2.947
8000,10,2,2.929
8000,10,3,2.950
8000,10,4,2.937
8000,10,5,2.958
8000,10,6,2.936
8000,10,7,2.978
8000,10,8,2.960
8000,10,9,2.979
8000,10,10,2.957
8000,10,11,2.946
8000,10,12,2.940
8000,10,13,2.942
8000,10,14,2.945
8000,10,15,2.943
8000,10,16,2.958
8000,10,17,2.932
8000,10,18,2.939
8000,10,19,2.943
8000,10,20,2.941
8000,10,21,2.951
8000,10,22,2.962
8000,10,23,2.974
8000,10,24,2.952
8000,10,25,2.956
8000,10,26,2.955
8000,10,27,2.985
8000,10,28,2.961
8000,10,29,2.939
8000,10,30,2.944
10000,10,1,4.638
10000,10,2,4.604
10000,10,3,4.651
10000,10,4,4.614
10000,10,5,4.641
10000,10,6,4.613
10000,10,7,4.657
10000,10,8,4.576
10000,10,9,4.611
10000,10,10,4.586
10000,10,11,4.602
10000,10,12,4.639
10000,10,13,4.619
10000,10,14,4.596
10000,10,15,4.650
10000,10,16,4.579
10000,10,17,4.607
10000,10,18,4.648
10000,10,19,4.612
10000,10,20,4.616
10000,10,21,4.662
10000,10,22,4.646
10000,10,23,4.585
10000,10,24,4.592
10000,10,25,4.655
10000,10,26,4.608
10000,10,27,4.683
10000,10,28,4.675
10000,10,29,4.662
10000,10,30,4.664
12000,10,1,6.739
12000,10,2,6.740
12000,10,3,6.692
12000,10,4,6.718
12000,10,5,6.711
12000,10,6,6.691
12000,10,7,6.708
12000,10,8,6.625
12000,10,9,6.613
12000,10,10,6.768
12000,10,11,6.649
12000,10,12,6.621
12000,10,13,6.627
12000,10,14,6.611
12000,10,15,6.628
12000,10,16,6.640
12000,10,17,6.664
12000,10,18,6.661
12000,10,19,6.733
12000,10,20,6.731
12000,10,21,6.779
12000,10,22,6.764
12000,10,23,6.721
12000,10,24,6.569
12000,10,25,6.560
12000,10,26,6.743
12000,10,27,6.696
12000,10,28,6.705
12000,10,29,6.749
12000,10,30,6.705
15000,10,1,10.685
15000,10,2,10.434
15000,10,3,10.545
15000,10,4,10.589
15000,10,5,10.497
15000,10,6,10.402
15000,10,7,10.439
15000,10,8,10.505
15000,10,9,10.405
15000,10,10,10.342
15000,10,11,10.333
15000,10,12,10.494
15000,10,13,10.457
15000,10,14,10.308
15000,10,15,10.293
15000,10,16,10.297
15000,10,17,10.487
15000,10,18,10.374
15000,10,19,10.366
15000,10,20,10.404
15000,10,21,10.364
15000,10,22,10.460
15000,10,23,10.484
15000,10,24,10.429
15000,10,25,10.460
15000,10,26,10.362
15000,10,27,10.360
15000,10,28,10.395
15000,10,29,10.408
15000,10,30,10.406
20000,10,1,18.510
20000,10,2,18.562
20000,10,3,18.471
20000,10,4,18.469
20000,10,5,18.494
20000,10,6,18.494
20000,10,7,18.942
20000,10,8,18.747
20000,10,9,18.336
20000,10,10,18.584
20000,10,11,18.616
20000,10,12,18.597
20000,10,13,18.731
20000,10,14,18.685
20000,10,15,18.492
20000,10,16,18.471
20000,10,17,18.393
20000,10,18,18.292
20000,10,19,18.425
20000,10,20,18.369
20000,10,21,18.474
20000,10,22,18.663
20000,10,23,18.379
20000,10,24,18.787
20000,10,25,18.517
20000,10,26,18.380
20000,10,27,18.587
20000,10,28,18.597
20000,10,29,18.695
20000,10,30,18.461
25000,10,1,29.088
25000,10,2,29.080
25000,10,3,29.108
25000,10,4,28.606
25000,10,5,29.039
25000,10,6,28.989
25000,10,7,29.198
25000,10,8,29.149
25000,10,9,29.279
25000,10,10,28.791
25000,10,11,28.633
25000,10,12,28.740
25000,10,13,29.132
25000,10,14,28.967
25000,10,15,29.221
25000,10,16,28.840
25000,10,17,29.167
25000,10,18,28.944
25000,10,19,28.723
25000,10,20,28.796
25000,10,21,28.822
25000,10,22,28.993
25000,10,23,29.481
25000,10,24,28.977
25000,10,25,29.108
25000,10,26,29.153
25000,10,27,28.933
25000,10,28,28.885
25000,10,29,29.321
25000,10,30,29.440
30000,10,1,42.332
30000,10,2,42.003
30000,10,3,42.284
30000,10,4,42.092
30000,10,5,41.478
30000,10,6,42.095
30000,10,7,42.035
30000,10,8,41.762
30000,10,9,41.831
30000,10,10,41.446
30000,10,11,41.598
30000,10,12,41.865
30000,10,13,41.864
30000,10,14,41.827
30000,10,15,41.826
30000,10,16,41.899
30000,10,17,42.246
30000,10,18,41.831
30000,10,19,41.748
30000,10,20,41.836
30000,10,21,41.573
30000,10,22,41.303
30000,10,23,41.703
30000,10,24,41.564
30000,10,25,41.285
30000,10,26,42.301
30000,10,27,41.920
30000,10,28,41.633
30000,10,29,41.769
30000,10,30,42.283
